pu_number,title,show_start_date,type,film_studio,production_country,director,producer,budget,box_office,refundable_support,nonrefundable_support,financing_source,ratings,genres,age_restriction
121000116,5-я волна,2016-01-15 12:00:00+00:00,художественный,"коламбиа пикчерз, джикей филмз, элстар кэпитал, ливинг филмз, материал пикчерз",сша,джей блейксон,"грэм кинг, тоби магвайер, мэтью плофф, тим хидингтон",0,249059512,0,0,нет данных,5.1,"фантастика,боевик,триллер",«16+» - для детей старше 16 лет
221022116,и грянул шторм,2016-05-05 12:00:00+00:00,художественный,"уолт дисней пикчерз, уайтекер интертейнмент",сша,крэйг гиллеспи,"дороти офьеро, джеймс уайтекер",0,0,0,0,нет данных,7.0,"боевик,триллер,драма",«16+» - для детей старше 16 лет
121000216,и грянул шторм,2016-01-15 12:00:00+00:00,художественный,"уолт дисней пикчерз, уайтекер интертейнмент",сша,крэйг гиллеспи,"дороти офьеро, джеймс уайтекер",0,217170923,0,0,нет данных,7.0,"боевик,триллер,драма",«16+» - для детей старше 16 лет
121000816,последний обряд,2016-01-15 12:00:00+00:00,художественный,ванштейн глобал филм,сша-великобритания,уилл кэнон,"ли клэй, джеймс ван",0,9378604,0,0,нет данных,4.9,"ужасы,триллер,детектив",«18+» - запрещено для детей
221017516,игра на понижение,2016-03-29 12:00:00+00:00,художественный,"план б интертейнмент, ридженси интерпрайзис, парамаунт пикчерз",сша,адам маккей,"деде гарднер, брэд питт",0,0,0,0,нет данных,7.3,"драма,комедия,биография",«18+» - запрещено для детей
121000616,игра на понижение,2016-01-12 12:00:00+00:00,художественный,"план б интертейнмент, ридженси интерпрайзис, парамаунт пикчерз",сша,адам маккей,"деде гарднер, брэд питт",0,87902451,0,0,нет данных,7.3,"драма,комедия,биография",«18+» - запрещено для детей
221025416,игра на понижение,2016-05-30 12:00:00+00:00,художественный,"план б интертейнмент, ридженси интерпрайзис, парамаунт пикчерз",сша,адам маккей,"деде гарднер, брэд питт",0,0,0,0,нет данных,7.3,"драма,комедия,биография",«18+» - запрещено для детей
221019616,13 часов: тайные солдаты бенгази,2016-04-19 12:00:00+00:00,художественный,"парамаунт, дан филмз, латина пикчарз,3 арт интертейнмент",сша,майкл бэй,"майкл бэй, эрвин стофф",0,0,0,0,нет данных,6.7,"боевик,триллер,драма",«18+» - запрещено для детей
121001016,13 часов: тайные солдаты бенгази,2016-01-15 12:00:00+00:00,художественный,"парамаунт, дан филмз, латина пикчарз,3 арт интертейнмент",сша,майкл бэй,"майкл бэй, эрвин стофф",0,18439240,0,0,нет данных,6.7,"боевик,триллер,драма",«18+» - запрещено для детей
121001216,кукла (2016),2016-01-14 12:00:00+00:00,художественный,"хуай бразерс пикчерз, лэйкшор интертейнмент, эстиэкс интертейнмент, вертиго интертейнмент",сша,уильям брент белл,"мэтт беренсон, рой ли, гэри лучези",0,66361446,0,0,нет данных,0.0,нет данных,«16+» - для детей старше 16 лет
121001116,зачетный препод 2,2016-01-14 12:00:00+00:00,художественный,константин филм интернейшнл,германия,бора дагтекин,"бора дагтекин, лена олбрич, сьюзанн функе",0,22021383,0,0,нет данных,6.6,комедия,«16+» - для детей старше 16 лет
